sep= . 
Montagem: 1 .  Data: 10/03/2021 11:50:59 . Placa 01 - Step 01
Tempo Passo 1 . 3,106298
Tempo Passo 2 . 71,00483
Tempo Passo 3 . 58,2279
Tempo Passo 4 . 27,67926
Tempo Passo 5 . 31,69158
Tempo Passo 6 . 7,337693
Tempo Passo 7 . 4,442343
Tempo Total de Montagem  . 195,9406
sep= . 
Montagem: 1 .  Data: 10/03/2021 11:58:43 . Placa 01 - Step 02
Tempo Passo 1 . 2,516725
Tempo Passo 2 . 37,35516
Tempo Passo 3 . 10,0956
Tempo Passo 4 . 4,645315
Tempo Total de Montagem  . 47,45075
sep= . 
Montagem: 1 .  Data: 10/03/2021 16:19:22 . Placa 02 - Step 01
Tempo Passo 1 . 5,429551
Tempo Passo 2 . 60,70338
Tempo Passo 3 . 28,66288
Tempo Passo 4 . 26,4834
Tempo Passo 5 . 51,50733
Tempo Passo 6 . 23,34207
Tempo Passo 7 . 10,26116
Tempo Passo 8 . 119,2729
Tempo Total de Montagem  . 200,9607
sep= . 
Montagem: 1 .  Data: 10/03/2021 16:40:02 . Placa 02 - Step 02
Tempo Passo 1 . 4,23717
Tempo Passo 2 . 48,36635
Tempo Passo 3 . 20,41827
Tempo Passo 4 . 89,41682
Tempo Passo 5 . 50,06033
Tempo Passo 6 . 32,11749
Tempo Passo 7 . 10,54481
Tempo Passo 8 . 37,6612
Tempo Total de Montagem  . 250,9247
