sep= . 
Montagem: 1 .  Data: 01/03/2021 13:52:25 . Placa 01 - Step 03
Tempo de Montagem  . 2,757329
Tempo Passo 1 . 11,76306
Tempo Passo 2 . 1,62325
Tempo Passo 3 . 0,4211285
Tempo Passo 4 . 0,1726938
Tempo Passo 5 . 0,5402558
Tempo Passo 6 . 0,3105377
sep= . 
Montagem: 2 .  Data: 01/03/2021 13:52:28 . Placa 01 - Step 03
Tempo de Montagem  . 1,629637
Tempo Passo 1 . 0,2118467
Tempo Passo 2 . 0,1931497
Tempo Passo 3 . 0,5176117
Tempo Passo 4 . 0,5175715
Tempo Passo 5 . 0,4013039
Tempo Passo 6 . 0,4599471
sep= . 
Montagem: 3 .  Data: 01/03/2021 13:52:38 . Placa 01 - Step 03
Tempo de Montagem  . 9,022787
Tempo Passo 1 . 1,03689
Tempo Passo 2 . 4,499017
Tempo Passo 3 . 1,866557
Tempo Passo 4 . 2,256155
Tempo Passo 5 . 0,4010577
Tempo Passo 6 . 0,4761718
sep= . 
Montagem: 4 .  Data: 01/03/2021 13:52:42 . Placa 01 - Step 03
Tempo de Montagem  . 3,132392
Tempo Passo 1 . 0,3721384
Tempo Passo 2 . 0,778668
Tempo Passo 3 . 1,486484
Tempo Passo 4 . 0,5371649
Tempo Passo 5 . 0,330075
Tempo Passo 6 . 0,302197
