sep= . 
Montagem: 1 .  Data: 09/09/2021 10:22:20 . Placa WEG - Step 04
Tempo Passo 1 . 131,4722
Tempo Passo 2 . 58,48624
Tempo Passo 3 . 84,5824
Tempo Passo 4 . 53,89147
Tempo Passo 5 . 49,00217
Tempo Passo 6 . 25,37262
Tempo Passo 7 . 77,03722
Tempo Total de Montagem  . 271,3344
Montagem interrompida . 271,3344
sep= . 
Montagem: 1 .  Data: 09/09/2021 10:22:20 . Placa WEG - Step 04
Tempo Passo 1 . 131,4722
Tempo Passo 2 . 58,48624
Tempo Passo 3 . 84,5824
Tempo Passo 4 . 53,89147
Tempo Passo 5 . 49,00217
Tempo Passo 6 . 25,37262
Tempo Passo 7 . 77,04906
Tempo Total de Montagem  . 271,3344
